"Year","Replicate","Variety","Resistance.category","Final.mortality","mortality.average.cultivator","Year_group","total_precip_sum_year","soil_temp_sum_year","air_temp_sum_year","sum_wind_speed_year","humid_sum_year","sol_rad_sum_year","dew_point_sum_year","vap_pres_sum_year","eto_sum_year","accumulatedairDD0","accumulatedairDD10","accumulatedairDD20","accumulatedairDD25","accumulatedairDD30","accumulatedsoilDD0","accumulatedsoilDD10","accumulatedsoilDD20","accumulatedsoilDD25","accumulatedsoilDD30"
"2020-2021",2,"bg 6.3024 ",2,5,22,"21","280.8","143.8","124.5","16.1","591","1793","61.5","9.3","940.60","3825.20","1291.55","122.33","12.57","0.15","3952.9","1512.9","79","0","0"
"2020-2021",3,"bg 6.3024 ",2,30,22,"21","280.8","143.8","124.5","16.1","591","1793","61.5","9.3","940.60","3825.20","1291.55","122.33","12.57","0.15","3952.9","1512.9","79","0","0"
"2020-2021",4,"bg 6.3024 ",2,15,22,"21","280.8","143.8","124.5","16.1","591","1793","61.5","9.3","940.60","3825.20","1291.55","122.33","12.57","0.15","3952.9","1512.9","79","0","0"
"2017-2018",1,"Big Sur",2,40,36.8,"18","311.3","145.3","147.5","15.8","615","1724","85.3","11.5","954.98","4706.65","2079.13","434.74","135.28","27.39","4404.95","1684.95","62.75","0","0"
"2017-2018",2,"Big Sur",2,75,36.8,"18","311.3","145.3","147.5","15.8","615","1724","85.3","11.5","954.98","4706.65","2079.13","434.74","135.28","27.39","4404.95","1684.95","62.75","0","0"
"2017-2018",3,"Big Sur",2,50,36.8,"18","311.3","145.3","147.5","15.8","615","1724","85.3","11.5","954.98","4706.65","2079.13","434.74","135.28","27.39","4404.95","1684.95","62.75","0","0"
"2017-2018",4,"Big Sur",2,60,36.8,"18","311.3","145.3","147.5","15.8","615","1724","85.3","11.5","954.98","4706.65","2079.13","434.74","135.28","27.39","4404.95","1684.95","62.75","0","0"
"2018-2019",1,"Big Sur",2,65,36.8,"19","714.1","145.1","124.6","13.9","640","1793","74.1","10.0","867.15","3947.85","1361.19","130.99","17.48","1.16","4313.75","1633.75","50.24","0","0"
"2018-2019",2,"Big Sur",2,68.4,36.8,"19","714.1","145.1","124.6","13.9","640","1793","74.1","10.0","867.15","3947.85","1361.19","130.99","17.48","1.16","4313.75","1633.75","50.24","0","0"
"2018-2019",3,"Big Sur",2,40,36.8,"19","714.1","145.1","124.6","13.9","640","1793","74.1","10.0","867.15","3947.85","1361.19","130.99","17.48","1.16","4313.75","1633.75","50.24","0","0"
"2018-2019",4,"Big Sur",2,57.9,36.8,"19","714.1","145.1","124.6","13.9","640","1793","74.1","10.0","867.15","3947.85","1361.19","130.99","17.48","1.16","4313.75","1633.75","50.24","0","0"
"2019-2020",1,"Big Sur",2,0,36.8,"20","379.4","145.6","127.1","14.2","612","1869","70.6","9.7","930.43","3985.10","1402.66","152.05","21.87","1.26","3968.05","1508.05","48.23","0","0"
"2019-2020",2,"Big Sur",2,60,36.8,"20","379.4","145.6","127.1","14.2","612","1869","70.6","9.7","930.43","3985.10","1402.66","152.05","21.87","1.26","3968.05","1508.05","48.23","0","0"
"2019-2020",3,"Big Sur",2,18.8,36.8,"20","379.4","145.6","127.1","14.2","612","1869","70.6","9.7","930.43","3985.10","1402.66","152.05","21.87","1.26","3968.05","1508.05","48.23","0","0"
"2019-2020",4,"Big Sur",2,50,36.8,"20","379.4","145.6","127.1","14.2","612","1869","70.6","9.7","930.43","3985.10","1402.66","152.05","21.87","1.26","3968.05","1508.05","48.23","0","0"
"2016-2017",1,"Big Sur ",2,20,36.8,"17","862.7","144.4","136.2","15.0","647","1790","86.9","11.3","927.73","4314.40","1693.7","276.51","65.73","7.8","4336.15","1646.15","54.49","0","0"
"2016-2017",2,"Big Sur ",2,25,36.8,"17","862.7","144.4","136.2","15.0","647","1790","86.9","11.3","927.73","4314.40","1693.7","276.51","65.73","7.8","4336.15","1646.15","54.49","0","0"
"2016-2017",3,"Big Sur ",2,50,36.8,"17","862.7","144.4","136.2","15.0","647","1790","86.9","11.3","927.73","4314.40","1693.7","276.51","65.73","7.8","4336.15","1646.15","54.49","0","0"
"2016-2017",4,"Big Sur ",2,25,36.8,"17","862.7","144.4","136.2","15.0","647","1790","86.9","11.3","927.73","4314.40","1693.7","276.51","65.73","7.8","4336.15","1646.15","54.49","0","0"
"2020-2021",1,"Big Sur ",2,0,36.8,"21","280.8","143.8","124.5","16.1","591","1793","61.5","9.3","940.60","3825.20","1291.55","122.33","12.57","0.15","3952.9","1512.9","79","0","0"
"2020-2021",2,"Big Sur ",2,20,36.8,"21","280.8","143.8","124.5","16.1","591","1793","61.5","9.3","940.60","3825.20","1291.55","122.33","12.57","0.15","3952.9","1512.9","79","0","0"
"2020-2021",3,"Big Sur ",2,0,36.8,"21","280.8","143.8","124.5","16.1","591","1793","61.5","9.3","940.60","3825.20","1291.55","122.33","12.57","0.15","3952.9","1512.9","79","0","0"
"2020-2021",4,"Big Sur ",2,10,36.8,"21","280.8","143.8","124.5","16.1","591","1793","61.5","9.3","940.60","3825.20","1291.55","122.33","12.57","0.15","3952.9","1512.9","79","0","0"
"2017-2018",1,"Fronteras",3,80,45.2,"18","311.3","145.3","147.5","15.8","615","1724","85.3","11.5","954.98","4706.65","2079.13","434.74","135.28","27.39","4404.95","1684.95","62.75","0","0"
"2017-2018",2,"Fronteras",3,50,45.2,"18","311.3","145.3","147.5","15.8","615","1724","85.3","11.5","954.98","4706.65","2079.13","434.74","135.28","27.39","4404.95","1684.95","62.75","0","0"
"2017-2018",3,"Fronteras",3,70,45.2,"18","311.3","145.3","147.5","15.8","615","1724","85.3","11.5","954.98","4706.65","2079.13","434.74","135.28","27.39","4404.95","1684.95","62.75","0","0"
"2017-2018",4,"Fronteras",3,95,45.2,"18","311.3","145.3","147.5","15.8","615","1724","85.3","11.5","954.98","4706.65","2079.13","434.74","135.28","27.39","4404.95","1684.95","62.75","0","0"
"2018-2019",1,"Fronteras",3,45,45.2,"19","714.1","145.1","124.6","13.9","640","1793","74.1","10.0","867.15","3947.85","1361.19","130.99","17.48","1.16","4313.75","1633.75","50.24","0","0"
"2018-2019",2,"Fronteras",3,31.6,45.2,"19","714.1","145.1","124.6","13.9","640","1793","74.1","10.0","867.15","3947.85","1361.19","130.99","17.48","1.16","4313.75","1633.75","50.24","0","0"
"2018-2019",3,"Fronteras",3,30,45.2,"19","714.1","145.1","124.6","13.9","640","1793","74.1","10.0","867.15","3947.85","1361.19","130.99","17.48","1.16","4313.75","1633.75","50.24","0","0"
"2018-2019",4,"Fronteras",3,29.4,45.2,"19","714.1","145.1","124.6","13.9","640","1793","74.1","10.0","867.15","3947.85","1361.19","130.99","17.48","1.16","4313.75","1633.75","50.24","0","0"
"2019-2020",1,"Fronteras",3,63.2,45.2,"20","379.4","145.6","127.1","14.2","612","1869","70.6","9.7","930.43","3985.10","1402.66","152.05","21.87","1.26","3968.05","1508.05","48.23","0","0"
"2019-2020",2,"Fronteras",3,40,45.2,"20","379.4","145.6","127.1","14.2","612","1869","70.6","9.7","930.43","3985.10","1402.66","152.05","21.87","1.26","3968.05","1508.05","48.23","0","0"
"2019-2020",3,"Fronteras",3,100,45.2,"20","379.4","145.6","127.1","14.2","612","1869","70.6","9.7","930.43","3985.10","1402.66","152.05","21.87","1.26","3968.05","1508.05","48.23","0","0"
"2019-2020",4,"Fronteras",3,90,45.2,"20","379.4","145.6","127.1","14.2","612","1869","70.6","9.7","930.43","3985.10","1402.66","152.05","21.87","1.26","3968.05","1508.05","48.23","0","0"
"2016-2017",1,"Fronteras ",3,22.2,45.2,"17","862.7","144.4","136.2","15.0","647","1790","86.9","11.3","927.73","4314.40","1693.7","276.51","65.73","7.8","4336.15","1646.15","54.49","0","0"
"2016-2017",2,"Fronteras ",3,38.9,45.2,"17","862.7","144.4","136.2","15.0","647","1790","86.9","11.3","927.73","4314.40","1693.7","276.51","65.73","7.8","4336.15","1646.15","54.49","0","0"
"2016-2017",3,"Fronteras ",3,27.8,45.2,"17","862.7","144.4","136.2","15.0","647","1790","86.9","11.3","927.73","4314.40","1693.7","276.51","65.73","7.8","4336.15","1646.15","54.49","0","0"
"2016-2017",4,"Fronteras ",3,72.2,45.2,"17","862.7","144.4","136.2","15.0","647","1790","86.9","11.3","927.73","4314.40","1693.7","276.51","65.73","7.8","4336.15","1646.15","54.49","0","0"
"2020-2021",1,"Fronteras ",3,0,45.2,"21","280.8","143.8","124.5","16.1","591","1793","61.5","9.3","940.60","3825.20","1291.55","122.33","12.57","0.15","3952.9","1512.9","79","0","0"
"2020-2021",2,"Fronteras ",3,0,45.2,"21","280.8","143.8","124.5","16.1","591","1793","61.5","9.3","940.60","3825.20","1291.55","122.33","12.57","0.15","3952.9","1512.9","79","0","0"
"2020-2021",3,"Fronteras ",3,0,45.2,"21","280.8","143.8","124.5","16.1","591","1793","61.5","9.3","940.60","3825.20","1291.55","122.33","12.57","0.15","3952.9","1512.9","79","0","0"
"2020-2021",4,"Fronteras ",3,18.8,45.2,"21","280.8","143.8","124.5","16.1","591","1793","61.5","9.3","940.60","3825.20","1291.55","122.33","12.57","0.15","3952.9","1512.9","79","0","0"
"2017-2018",1,"Monterey",3,80,47.1,"18","311.3","145.3","147.5","15.8","615","1724","85.3","11.5","954.98","4706.65","2079.13","434.74","135.28","27.39","4404.95","1684.95","62.75","0","0"
"2017-2018",2,"Monterey",3,90,47.1,"18","311.3","145.3","147.5","15.8","615","1724","85.3","11.5","954.98","4706.65","2079.13","434.74","135.28","27.39","4404.95","1684.95","62.75","0","0"
"2017-2018",3,"Monterey",3,82.4,47.1,"18","311.3","145.3","147.5","15.8","615","1724","85.3","11.5","954.98","4706.65","2079.13","434.74","135.28","27.39","4404.95","1684.95","62.75","0","0"
"2017-2018",4,"Monterey",3,100,47.1,"18","311.3","145.3","147.5","15.8","615","1724","85.3","11.5","954.98","4706.65","2079.13","434.74","135.28","27.39","4404.95","1684.95","62.75","0","0"
"2018-2019",1,"Monterey",3,54.5,47.1,"19","714.1","145.1","124.6","13.9","640","1793","74.1","10.0","867.15","3947.85","1361.19","130.99","17.48","1.16","4313.75","1633.75","50.24","0","0"
"2018-2019",2,"Monterey",3,38.5,47.1,"19","714.1","145.1","124.6","13.9","640","1793","74.1","10.0","867.15","3947.85","1361.19","130.99","17.48","1.16","4313.75","1633.75","50.24","0","0"
"2018-2019",3,"Monterey",3,50,47.1,"19","714.1","145.1","124.6","13.9","640","1793","74.1","10.0","867.15","3947.85","1361.19","130.99","17.48","1.16","4313.75","1633.75","50.24","0","0"
"2018-2019",4,"Monterey",3,36.4,47.1,"19","714.1","145.1","124.6","13.9","640","1793","74.1","10.0","867.15","3947.85","1361.19","130.99","17.48","1.16","4313.75","1633.75","50.24","0","0"
"2019-2020",1,"Monterey",3,11.8,47.1,"20","379.4","145.6","127.1","14.2","612","1869","70.6","9.7","930.43","3985.10","1402.66","152.05","21.87","1.26","3968.05","1508.05","48.23","0","0"
"2019-2020",2,"Monterey",3,41.2,47.1,"20","379.4","145.6","127.1","14.2","612","1869","70.6","9.7","930.43","3985.10","1402.66","152.05","21.87","1.26","3968.05","1508.05","48.23","0","0"
"2019-2020",3,"Monterey",3,27.8,47.1,"20","379.4","145.6","127.1","14.2","612","1869","70.6","9.7","930.43","3985.10","1402.66","152.05","21.87","1.26","3968.05","1508.05","48.23","0","0"
"2019-2020",4,"Monterey",3,27.8,47.1,"20","379.4","145.6","127.1","14.2","612","1869","70.6","9.7","930.43","3985.10","1402.66","152.05","21.87","1.26","3968.05","1508.05","48.23","0","0"
"2016-2017",1,"Monterey ",3,50,47.1,"17","862.7","144.4","136.2","15.0","647","1790","86.9","11.3","927.73","4314.40","1693.7","276.51","65.73","7.8","4336.15","1646.15","54.49","0","0"
"2016-2017",2,"Monterey ",3,92.9,47.1,"17","862.7","144.4","136.2","15.0","647","1790","86.9","11.3","927.73","4314.40","1693.7","276.51","65.73","7.8","4336.15","1646.15","54.49","0","0"
"2016-2017",3,"Monterey ",3,64.3,47.1,"17","862.7","144.4","136.2","15.0","647","1790","86.9","11.3","927.73","4314.40","1693.7","276.51","65.73","7.8","4336.15","1646.15","54.49","0","0"
"2016-2017",4,"Monterey ",3,69.2,47.1,"17","862.7","144.4","136.2","15.0","647","1790","86.9","11.3","927.73","4314.40","1693.7","276.51","65.73","7.8","4336.15","1646.15","54.49","0","0"
"2020-2021",1,"Monterey ",3,15.8,47.1,"21","280.8","143.8","124.5","16.1","591","1793","61.5","9.3","940.60","3825.20","1291.55","122.33","12.57","0.15","3952.9","1512.9","79","0","0"
"2020-2021",2,"Monterey ",3,5,47.1,"21","280.8","143.8","124.5","16.1","591","1793","61.5","9.3","940.60","3825.20","1291.55","122.33","12.57","0.15","3952.9","1512.9","79","0","0"
"2020-2021",3,"Monterey ",3,0,47.1,"21","280.8","143.8","124.5","16.1","591","1793","61.5","9.3","940.60","3825.20","1291.55","122.33","12.57","0.15","3952.9","1512.9","79","0","0"
"2020-2021",4,"Monterey ",3,5,47.1,"21","280.8","143.8","124.5","16.1","591","1793","61.5","9.3","940.60","3825.20","1291.55","122.33","12.57","0.15","3952.9","1512.9","79","0","0"
"2017-2018",1,"pe 7.2059",3,70,53.7,"18","311.3","145.3","147.5","15.8","615","1724","85.3","11.5","954.98","4706.65","2079.13","434.74","135.28","27.39","4404.95","1684.95","62.75","0","0"
"2017-2018",2,"pe 7.2059",3,90,53.7,"18","311.3","145.3","147.5","15.8","615","1724","85.3","11.5","954.98","4706.65","2079.13","434.74","135.28","27.39","4404.95","1684.95","62.75","0","0"
"2017-2018",3,"pe 7.2059",3,100,53.7,"18","311.3","145.3","147.5","15.8","615","1724","85.3","11.5","954.98","4706.65","2079.13","434.74","135.28","27.39","4404.95","1684.95","62.75","0","0"
"2017-2018",4,"pe 7.2059",3,95,53.7,"18","311.3","145.3","147.5","15.8","615","1724","85.3","11.5","954.98","4706.65","2079.13","434.74","135.28","27.39","4404.95","1684.95","62.75","0","0"
"2018-2019",1,"pe 7.2059",3,70,53.7,"19","714.1","145.1","124.6","13.9","640","1793","74.1","10.0","867.15","3947.85","1361.19","130.99","17.48","1.16","4313.75","1633.75","50.24","0","0"
"2018-2019",2,"pe 7.2059",3,70,53.7,"19","714.1","145.1","124.6","13.9","640","1793","74.1","10.0","867.15","3947.85","1361.19","130.99","17.48","1.16","4313.75","1633.75","50.24","0","0"
"2018-2019",3,"pe 7.2059",3,94.7,53.7,"19","714.1","145.1","124.6","13.9","640","1793","74.1","10.0","867.15","3947.85","1361.19","130.99","17.48","1.16","4313.75","1633.75","50.24","0","0"
"2018-2019",4,"pe 7.2059",3,95,53.7,"19","714.1","145.1","124.6","13.9","640","1793","74.1","10.0","867.15","3947.85","1361.19","130.99","17.48","1.16","4313.75","1633.75","50.24","0","0"
"2019-2020",1,"pe 7.2059",3,40,53.7,"20","379.4","145.6","127.1","14.2","612","1869","70.6","9.7","930.43","3985.10","1402.66","152.05","21.87","1.26","3968.05","1508.05","48.23","0","0"
"2019-2020",2,"pe 7.2059",3,45,53.7,"20","379.4","145.6","127.1","14.2","612","1869","70.6","9.7","930.43","3985.10","1402.66","152.05","21.87","1.26","3968.05","1508.05","48.23","0","0"
"2019-2020",3,"pe 7.2059",3,23.5,53.7,"20","379.4","145.6","127.1","14.2","612","1869","70.6","9.7","930.43","3985.10","1402.66","152.05","21.87","1.26","3968.05","1508.05","48.23","0","0"
"2019-2020",4,"pe 7.2059",3,30,53.7,"20","379.4","145.6","127.1","14.2","612","1869","70.6","9.7","930.43","3985.10","1402.66","152.05","21.87","1.26","3968.05","1508.05","48.23","0","0"
"2016-2017",1,"PE 7.2059 ",3,45,53.7,"17","862.7","144.4","136.2","15.0","647","1790","86.9","11.3","927.73","4314.40","1693.7","276.51","65.73","7.8","4336.15","1646.15","54.49","0","0"
"2016-2017",2,"PE 7.2059 ",3,50,53.7,"17","862.7","144.4","136.2","15.0","647","1790","86.9","11.3","927.73","4314.40","1693.7","276.51","65.73","7.8","4336.15","1646.15","54.49","0","0"
"2016-2017",3,"PE 7.2059 ",3,45,53.7,"17","862.7","144.4","136.2","15.0","647","1790","86.9","11.3","927.73","4314.40","1693.7","276.51","65.73","7.8","4336.15","1646.15","54.49","0","0"
"2016-2017",4,"PE 7.2059 ",3,55,53.7,"17","862.7","144.4","136.2","15.0","647","1790","86.9","11.3","927.73","4314.40","1693.7","276.51","65.73","7.8","4336.15","1646.15","54.49","0","0"
"2020-2021",1,"pe 7.2059 ",3,10,53.7,"21","280.8","143.8","124.5","16.1","591","1793","61.5","9.3","940.60","3825.20","1291.55","122.33","12.57","0.15","3952.9","1512.9","79","0","0"
"2020-2021",2,"pe 7.2059 ",3,20,53.7,"21","280.8","143.8","124.5","16.1","591","1793","61.5","9.3","940.60","3825.20","1291.55","122.33","12.57","0.15","3952.9","1512.9","79","0","0"
"2020-2021",3,"pe 7.2059 ",3,10.5,53.7,"21","280.8","143.8","124.5","16.1","591","1793","61.5","9.3","940.60","3825.20","1291.55","122.33","12.57","0.15","3952.9","1512.9","79","0","0"
"2020-2021",4,"pe 7.2059 ",3,15,53.7,"21","280.8","143.8","124.5","16.1","591","1793","61.5","9.3","940.60","3825.20","1291.55","122.33","12.57","0.15","3952.9","1512.9","79","0","0"
"2017-2018",1,"ps 9271",2,45,22.5,"18","311.3","145.3","147.5","15.8","615","1724","85.3","11.5","954.98","4706.65","2079.13","434.74","135.28","27.39","4404.95","1684.95","62.75","0","0"
"2017-2018",2,"ps 9271",2,45,22.5,"18","311.3","145.3","147.5","15.8","615","1724","85.3","11.5","954.98","4706.65","2079.13","434.74","135.28","27.39","4404.95","1684.95","62.75","0","0"
"2017-2018",3,"ps 9271",2,60,22.5,"18","311.3","145.3","147.5","15.8","615","1724","85.3","11.5","954.98","4706.65","2079.13","434.74","135.28","27.39","4404.95","1684.95","62.75","0","0"
"2017-2018",4,"ps 9271",2,45,22.5,"18","311.3","145.3","147.5","15.8","615","1724","85.3","11.5","954.98","4706.65","2079.13","434.74","135.28","27.39","4404.95","1684.95","62.75","0","0"
"2018-2019",1,"ps 9271",2,31.6,22.5,"19","714.1","145.1","124.6","13.9","640","1793","74.1","10.0","867.15","3947.85","1361.19","130.99","17.48","1.16","4313.75","1633.75","50.24","0","0"
"2018-2019",2,"ps 9271",2,45,22.5,"19","714.1","145.1","124.6","13.9","640","1793","74.1","10.0","867.15","3947.85","1361.19","130.99","17.48","1.16","4313.75","1633.75","50.24","0","0"
"2018-2019",3,"ps 9271",2,42.1,22.5,"19","714.1","145.1","124.6","13.9","640","1793","74.1","10.0","867.15","3947.85","1361.19","130.99","17.48","1.16","4313.75","1633.75","50.24","0","0"
"2018-2019",4,"ps 9271",2,15,22.5,"19","714.1","145.1","124.6","13.9","640","1793","74.1","10.0","867.15","3947.85","1361.19","130.99","17.48","1.16","4313.75","1633.75","50.24","0","0"
"2019-2020",1,"ps 9271",2,10,22.5,"20","379.4","145.6","127.1","14.2","612","1869","70.6","9.7","930.43","3985.10","1402.66","152.05","21.87","1.26","3968.05","1508.05","48.23","0","0"
"2019-2020",2,"ps 9271",2,0,22.5,"20","379.4","145.6","127.1","14.2","612","1869","70.6","9.7","930.43","3985.10","1402.66","152.05","21.87","1.26","3968.05","1508.05","48.23","0","0"
"2019-2020",3,"ps 9271",2,5,22.5,"20","379.4","145.6","127.1","14.2","612","1869","70.6","9.7","930.43","3985.10","1402.66","152.05","21.87","1.26","3968.05","1508.05","48.23","0","0"
"2019-2020",4,"ps 9271",2,5,22.5,"20","379.4","145.6","127.1","14.2","612","1869","70.6","9.7","930.43","3985.10","1402.66","152.05","21.87","1.26","3968.05","1508.05","48.23","0","0"
"2016-2017",1,"PS 9271 ",2,15,22.5,"17","862.7","144.4","136.2","15.0","647","1790","86.9","11.3","927.73","4314.40","1693.7","276.51","65.73","7.8","4336.15","1646.15","54.49","0","0"
"2016-2017",2,"PS 9271 ",2,25,22.5,"17","862.7","144.4","136.2","15.0","647","1790","86.9","11.3","927.73","4314.40","1693.7","276.51","65.73","7.8","4336.15","1646.15","54.49","0","0"
"2016-2017",3,"PS 9271 ",2,10,22.5,"17","862.7","144.4","136.2","15.0","647","1790","86.9","11.3","927.73","4314.40","1693.7","276.51","65.73","7.8","4336.15","1646.15","54.49","0","0"
"2016-2017",4,"PS 9271 ",2,20,22.5,"17","862.7","144.4","136.2","15.0","647","1790","86.9","11.3","927.73","4314.40","1693.7","276.51","65.73","7.8","4336.15","1646.15","54.49","0","0"
"2020-2021",1,"ps 9271 ",2,15,22.5,"21","280.8","143.8","124.5","16.1","591","1793","61.5","9.3","940.60","3825.20","1291.55","122.33","12.57","0.15","3952.9","1512.9","79","0","0"
"2020-2021",2,"ps 9271 ",2,5.6,22.5,"21","280.8","143.8","124.5","16.1","591","1793","61.5","9.3","940.60","3825.20","1291.55","122.33","12.57","0.15","3952.9","1512.9","79","0","0"
"2020-2021",3,"ps 9271 ",2,0,22.5,"21","280.8","143.8","124.5","16.1","591","1793","61.5","9.3","940.60","3825.20","1291.55","122.33","12.57","0.15","3952.9","1512.9","79","0","0"
"2020-2021",4,"ps 9271 ",2,10,22.5,"21","280.8","143.8","124.5","16.1","591","1793","61.5","9.3","940.60","3825.20","1291.55","122.33","12.57","0.15","3952.9","1512.9","79","0","0"
"2016-2017",1,"Ruby June",4,94.4,83.7,"17","862.7","144.4","136.2","15.0","647","1790","86.9","11.3","927.73","4314.40","1693.7","276.51","65.73","7.8","4336.15","1646.15","54.49","0","0"
"2016-2017",2,"Ruby June",4,94.4,83.7,"17","862.7","144.4","136.2","15.0","647","1790","86.9","11.3","927.73","4314.40","1693.7","276.51","65.73","7.8","4336.15","1646.15","54.49","0","0"
"2016-2017",3,"Ruby June",4,70.6,83.7,"17","862.7","144.4","136.2","15.0","647","1790","86.9","11.3","927.73","4314.40","1693.7","276.51","65.73","7.8","4336.15","1646.15","54.49","0","0"
"2016-2017",4,"Ruby June",4,100,83.7,"17","862.7","144.4","136.2","15.0","647","1790","86.9","11.3","927.73","4314.40","1693.7","276.51","65.73","7.8","4336.15","1646.15","54.49","0","0"
"2017-2018",1,"Ruby June",4,100,83.7,"18","311.3","145.3","147.5","15.8","615","1724","85.3","11.5","954.98","4706.65","2079.13","434.74","135.28","27.39","4404.95","1684.95","62.75","0","0"
"2017-2018",2,"Ruby June",4,100,83.7,"18","311.3","145.3","147.5","15.8","615","1724","85.3","11.5","954.98","4706.65","2079.13","434.74","135.28","27.39","4404.95","1684.95","62.75","0","0"
"2017-2018",3,"Ruby June",4,100,83.7,"18","311.3","145.3","147.5","15.8","615","1724","85.3","11.5","954.98","4706.65","2079.13","434.74","135.28","27.39","4404.95","1684.95","62.75","0","0"
"2017-2018",4,"Ruby June",4,100,83.7,"18","311.3","145.3","147.5","15.8","615","1724","85.3","11.5","954.98","4706.65","2079.13","434.74","135.28","27.39","4404.95","1684.95","62.75","0","0"
"2018-2019",1,"Ruby June",4,80,83.7,"19","714.1","145.1","124.6","13.9","640","1793","74.1","10.0","867.15","3947.85","1361.19","130.99","17.48","1.16","4313.75","1633.75","50.24","0","0"
"2018-2019",2,"Ruby June",4,85,83.7,"19","714.1","145.1","124.6","13.9","640","1793","74.1","10.0","867.15","3947.85","1361.19","130.99","17.48","1.16","4313.75","1633.75","50.24","0","0"
"2018-2019",3,"Ruby June",4,80,83.7,"19","714.1","145.1","124.6","13.9","640","1793","74.1","10.0","867.15","3947.85","1361.19","130.99","17.48","1.16","4313.75","1633.75","50.24","0","0"
"2018-2019",4,"Ruby June",4,75,83.7,"19","714.1","145.1","124.6","13.9","640","1793","74.1","10.0","867.15","3947.85","1361.19","130.99","17.48","1.16","4313.75","1633.75","50.24","0","0"
